Data do leilуo;Tэtulo;Tipo de leilуo;Volta;Data de liquidaчуo;Data de vencimento;Oferta;Taxa mщdia;Taxa de corte;Venda;Financeiro (R$);Venda para Bacen;Financeiro para Bacen (R$)
31/07/2008;NTN-F;Venda;2.к volta;01/08/2008;01/01/2012;300.000;14,263;14,263;284.808;256.732.226,58;0;0
31/07/2008;NTN-F;Venda;1.к volta;01/08/2008;01/01/2017;300.000;13,7781;13,788;27.000;22.444.503,03;0;0
31/07/2001;LFT;Venda;1.к volta;01/08/2001;18/10/2006;3.000.000;0,3699;0,3699;3.000.000;3.466.283.106,15;-;-
31/05/2013;LTN;Venda;1.к volta;03/06/2013;01/01/2017;500.000;9,7599;9,7599;500.000;358.001.500,50;0;0
31/05/2013;LTN;Venda;2.к volta;03/06/2013;01/01/2017;100.000;9,7599;9,7599;0;0;0;0
31/05/2013;LTN;Venda;1.к volta;03/06/2013;01/04/2014;500.000;8,6543;8,655;20.350;18.983.747,28;0;0
31/05/2013;LTN;Venda;1.к volta;03/06/2013;01/07/2015;500.000;9,2804;9,281;220.000;182.862.991,92;0;0
31/05/2012;LTN;Venda;1.к volta;01/06/2012;01/01/2016;3.000.000;9,4675;9,48;3.000.000;2.170.225.146,11;0;0
31/05/2012;LTN;Venda;2.к volta;01/06/2012;01/01/2016;600.000;9,4675;9,4675;0;0;0;0
31/05/2012;LTN;Venda;1.к volta;01/06/2012;01/04/2013;500.000;7,9716;7,9749;302.050;283.693.593,86;0;0
31/05/2012;LTN;Venda;2.к volta;01/06/2012;01/04/2013;100.000;7,9716;7,9716;0;0;0;0
31/05/2012;LTN;Venda;1.к volta;01/06/2012;01/07/2014;1.500.000;8,5949;8,5949;1.500.000;1.264.899.024,00;0;0
31/05/2012;LTN;Venda;2.к volta;01/06/2012;01/07/2014;300.000;8,5949;8,5949;0;0;0;0
31/05/2007;LFT;Venda;1.к volta;01/06/2007;07/03/2012;1.000.000;0;0;911.950;2.839.396.992,49;0;0
31/05/2007;LFT;Venda;2.к volta;01/06/2007;07/03/2012;-;0;0;14.000;43.589.624,30;0;0
31/05/2007;LFT;Venda;1.к volta;01/06/2007;07/09/2010;1.000.000;-0,0016;-0,0016;88.050;274.161.308,87;0;0
31/05/2007;LFT;Venda;2.к volta;01/06/2007;07/09/2010;-;-0,0016;0;0;0;0;0
31/05/2007;LTN;Venda;1.к volta;01/06/2007;01/01/2008;500.000;11,3489;11,3499;500.000;469.809.356,75;0;0
31/05/2007;LTN;Venda;2.к volta;01/06/2007;01/01/2008;75.000;11,3489;11,3489;45.000;42.282.842,13;0;0
31/05/2007;LTN;Venda;1.к volta;01/06/2007;01/07/2009;3.000.000;10,5017;10,51;2.460.000;2.000.316.145,47;0;0
31/05/2007;NTN-F;Venda;1.к volta;01/06/2007;01/01/2012;1.000.000;10,202;10,203;1.000.000;1.034.618.651,00;0;0
31/05/2007;NTN-F;Venda;2.к volta;01/06/2007;01/01/2012;150.000;10,202;10,202;80.000;82.769.492,08;0;0
31/05/2007;NTN-F;Venda;1.к volta;01/06/2007;01/01/2017;500.000;9,9582;10,0399;500.000;522.235.192,10;0;0
31/05/2007;NTN-F;Venda;2.к volta;01/06/2007;01/01/2017;75.000;9,9582;0;0;0;0;0
31/05/2007;NTN-F;Venda;1.к volta;01/06/2007;01/07/2010;1.000.000;10,3621;10,3748;1.000.000;1.032.921.683,51;0;0
31/05/2007;NTN-F;Venda;2.к volta;01/06/2007;01/07/2010;150.000;10,3621;10,3621;59.563;61.523.914,25;0;0
31/05/2005;LFT;Venda;1.к volta;01/06/2005;16/09/2009;500.000;0;0;0;0;0;0
31/05/2005;LFT;Venda;1.к volta;01/06/2005;17/12/2008;500.000;0,3448;0,3448;70.000;160.399.459,05;0;0
31/05/2005;LFT;Venda;1.к volta;01/06/2005;19/03/2008;500.000;0,2944;0,2944;409.100;941.184.606,93;0;0
31/05/2005;LTN;Venda;1.к volta;01/06/2005;01/01/2006;1.000.000;19,6733;19,677;1.000.000;899.253.896,95;0;0
31/05/2005;LTN;Venda;2.к volta;01/06/2005;01/01/2006;150.000;19,6733;19,6733;80.458;72.352.170,03;0;0
31/05/2005;LTN;Venda;1.к volta;01/06/2005;01/07/2007;500.000;17,8901;17,91;362.000;257.423.367,88;500.000;355.557.137,50
31/05/2005;LTN;Venda;1.к volta;01/06/2005;01/10/2006;2.000.000;18,4979;18,4979;2.000.000;1.593.882.000,00;500.000;398.470.500,00
31/05/2005;LTN;Venda;2.к volta;01/06/2005;01/10/2006;300.000;18,4979;18,4979;260.000;207.204.660,00;0;0
31/05/2005;NTN-F;Venda;1.к volta;01/06/2005;01/01/2010;150.000;0;0;0;0;0;0
31/05/2005;NTN-F;Venda;1.к volta;01/06/2005;01/01/2012;150.000;16,6296;16,69;150.000;119.108.603,17;0;0
31/05/2005;NTN-F;Venda;2.к volta;01/06/2005;01/01/2012;22.500;16,6296;0;0;0;0;0
31/03/2020;NTN-B;Venda;1.к volta;01/04/2020;15/05/2025;100.000;3,3989;3,3989;41.000;155.066.877,26;0;0
31/03/2020;NTN-B;Venda;1.к volta;01/04/2020;15/05/2055;50.000;4,4995;4,4995;8.800;37.430.630,05;0;0
31/03/2020;NTN-B;Venda;1.к volta;01/04/2020;15/08/2030;100.000;3,9695;3,9695;4.500;17.534.517,28;0;0
31/03/2020;NTN-B;Venda;1.к volta;01/04/2020;15/08/2040;50.000;4,3675;4,3675;500;2.026.719,64;0;0
31/03/2016;LFT;Venda;1.к volta;01/04/2016;01/03/2022;500.000;0,0281;0,0299;154.550;1.180.206.682,28;1.600.000;12.218.252.079,62
31/03/2016;LTN;Venda;1.к volta;01/04/2016;01/01/2020;3.000.000;13,7117;13,7199;3.000.000;1.855.736.019,65;11.000.000;6.804.365.403,00
31/03/2016;LTN;Venda;2.к volta;04/04/2016;01/01/2020;600.000;13,7117;13,7117;539.999;334.202.296,59;0;0
31/03/2016;LTN;Venda;1.к volta;01/04/2016;01/04/2018;2.000.000;13,5673;13,5805;2.000.000;1.553.818.031,79;9.000.000;6.992.181.144,00
31/03/2016;LTN;Venda;2.к volta;04/04/2016;01/04/2018;400.000;13,5673;13,5673;297.775;231.461.054,19;0;0
31/03/2016;LTN;Venda;1.к volta;01/04/2016;01/10/2016;2.000.000;13,8615;13,87;2.000.000;1.872.379.976,97;0;0
31/03/2016;LTN;Venda;2.к volta;04/04/2016;01/10/2016;400.000;13,8615;13,8615;279.999;262.267.400,56;0;0
